	countsfilteredBeiRNA_BagBrown_mean	countsfilteredBeiRNA_SeaWater_mean	theta	prob	log2FC
TRINITY_DN10364_c0_g1~~TRINITY_DN10364_c0_g1_i1.p2	0.4983205289	48.792694606825	-1.97230893486523	1	-6.61344734020338
TRINITY_DN11499_c0_g1~~TRINITY_DN11499_c0_g1_i3.p1	3.60696847385	909.146477327425	-2.23229836795906	1	-7.97758212951054
TRINITY_DN12035_c60_g1~~TRINITY_DN12035_c60_g1_i1.p1	492.61636727335	0.51099916385	3.82371342410654	1	9.91292791663782
TRINITY_DN1212_c0_g1~~TRINITY_DN1212_c0_g1_i4.p1	103.222961240425	51.28328962415	2.35255750529987	1	1.00920321075607
TRINITY_DN133801_c5_g1~~TRINITY_DN133801_c5_g1_i1.p1	143.210219896	0.8030169615	2.16909449099459	1	7.47848827484908
TRINITY_DN1371_c12_g1~~TRINITY_DN1371_c12_g1_i5.p1	3134.29510315912	5939.5317233365	-2.13586799100848	1	-0.922208172252373
TRINITY_DN15155_c0_g1~~TRINITY_DN15155_c0_g1_i8.p1	1673.86618378823	971.02471401235	2.06717136696468	1	0.785604277179744
TRINITY_DN15628_c0_g1~~TRINITY_DN15628_c0_g1_i1.p1	289.070975887875	217.1162037875	2.10826879689812	1	0.412956361591834
TRINITY_DN15727_c0_g1~~TRINITY_DN15727_c0_g1_i2.p2	33.06387151055	0.7724014368	2.34103233639418	1	5.41976100420331
TRINITY_DN159248_c0_g1~~TRINITY_DN159248_c0_g1_i1.p1	63.28312718275	204.4703887666	-1.9275088632304	1	-1.69199912985351
TRINITY_DN17459_c0_g1~~TRINITY_DN17459_c0_g1_i1.p1	0.538051622	20.192769483	-2.27278411682046	1	-5.22995038768677
TRINITY_DN1755_c0_g1~~TRINITY_DN1755_c0_g1_i25.p1	0.5	3.3382714456	-2.03171135863349	1	-2.73910126964925
TRINITY_DN1778_c0_g1~~TRINITY_DN1778_c0_g1_i7.p1	26.89958638315	15.615506391375	2.23003200597524	1	0.784604634685068
TRINITY_DN18499_c0_g1~~TRINITY_DN18499_c0_g1_i2.p1	125.255274149725	79.583429162325	2.45249364083575	1	0.654331382933614
TRINITY_DN1_c0_g6~~TRINITY_DN1_c0_g6_i1.p1	10098.7379232026	6913.20371378005	2.05440454163929	1	0.546748661502213
TRINITY_DN2002_c0_g1~~TRINITY_DN2002_c0_g1_i11.p1	0.429350540675	11.870780968975	-2.09856908171894	1	-4.78911503306373
TRINITY_DN200_c1_g1~~TRINITY_DN200_c1_g1_i7.p1	0.5	8.926099443325	-1.92229709325614	1	-4.15802987936511
TRINITY_DN2139_c0_g1~~TRINITY_DN2139_c0_g1_i4.p1	0.498559315775	8.796843686125	-2.51861015085203	1	-4.14114891290356
TRINITY_DN2182_c0_g1~~TRINITY_DN2182_c0_g1_i16.p1	564.5058552393	325.151134282725	2.22054957215478	1	0.795878088583038
TRINITY_DN22_c1_g1~~TRINITY_DN22_c1_g1_i1.p1	0.5	8.799704696725	-2.31489561937493	1	-4.13745511014553
TRINITY_DN2318_c0_g1~~TRINITY_DN2318_c0_g1_i4.p1	240.0719173399	116.792504647175	2.03490501144666	1	1.03951896285778
TRINITY_DN236_c0_g1~~TRINITY_DN236_c0_g1_i1.p1	25.919171038825	83.5501619392	-1.88968103784112	1	-1.68862304666542
TRINITY_DN24047_c0_g1~~TRINITY_DN24047_c0_g1_i3.p1	14.206900456775	0.5	2.20488561882444	1	4.8285199286093
TRINITY_DN24194_c0_g2~~TRINITY_DN24194_c0_g2_i1.p1	80.48649577	0.820278562725	2.45422904290067	1	6.61648900888488
TRINITY_DN2494_c0_g1~~TRINITY_DN2494_c0_g1_i6.p1	18.86362706105	5.449606042275	2.06316630189935	1	1.79138325640843
TRINITY_DN25170_c0_g1~~TRINITY_DN25170_c0_g1_i10.p1	0.55196176055	213.680695571725	-2.36810871544889	1	-8.5966725402476
TRINITY_DN25170_c0_g2~~TRINITY_DN25170_c0_g2_i1.p1	11.077101247675	1301.32702058018	-1.99117755497479	1	-6.87625934966587
TRINITY_DN25170_c0_g2~~TRINITY_DN25170_c0_g2_i2.p1	1.20471039125	213.961686842575	-2.00048991272722	1	-7.47252230401981
TRINITY_DN25238_c0_g1~~TRINITY_DN25238_c0_g1_i2.p1	52.769900499025	8.07793123545	2.22396455742707	1	2.70765749318398
TRINITY_DN270_c0_g1~~TRINITY_DN270_c0_g1_i5.p1	15.50341365905	0.5267175625	2.90569405282863	1	4.87941253927118
TRINITY_DN27984_c0_g1~~TRINITY_DN27984_c0_g1_i1.p1	63.03720860445	40.603383147725	2.1799542347321	1	0.634603710808461
TRINITY_DN2867_c0_g1~~TRINITY_DN2867_c0_g1_i6.p1	0.436779657875	5.084728250125	-1.97203797955749	1	-3.54119309993367
TRINITY_DN292_c0_g1~~TRINITY_DN292_c0_g1_i4.p1	1.374529594325	37.196532693725	-2.54022146910698	1	-4.75815827130182
TRINITY_DN300_c0_g1~~TRINITY_DN300_c0_g1_i12.p1	5.707281187875	67.5840829388	-2.00181120063717	1	-3.56580796130923
TRINITY_DN3138_c1_g1~~TRINITY_DN3138_c1_g1_i1.p1	1103.52901389735	715.2067234097	2.25817771330394	1	0.625692357367811
TRINITY_DN3196_c2_g1~~TRINITY_DN3196_c2_g1_i10.p1	25.015525643575	0.37821713425	3.46553922567721	1	6.04746523461197
TRINITY_DN328_c1_g2~~TRINITY_DN328_c1_g2_i1.p1	1315.75274430948	885.905855233725	2.26575084877192	1	0.570663106343275
TRINITY_DN33114_c0_g1~~TRINITY_DN33114_c0_g1_i1.p1	206.847911087775	140.318772354275	2.05578172243947	1	0.559862357337432
TRINITY_DN3638_c0_g1~~TRINITY_DN3638_c0_g1_i28.p1	5.30081074705	22.123906147975	-2.36835639269584	1	-2.06132118849181
TRINITY_DN3638_c0_g1~~TRINITY_DN3638_c0_g1_i31.p1	80.268469957625	16.492001745525	2.18914299284573	1	2.28306687881198
TRINITY_DN368_c0_g1~~TRINITY_DN368_c0_g1_i3.p1	13.727976480025	0.424405274	2.91215836116848	1	5.01553259152644
TRINITY_DN3840_c0_g1~~TRINITY_DN3840_c0_g1_i1.p1	280.52379840955	208.703930366975	2.13324438232162	1	0.426665397986311
TRINITY_DN387_c0_g1~~TRINITY_DN387_c0_g1_i6.p1	29.472689287225	0.5	2.50127941940552	1	5.88130680259485
TRINITY_DN38813_c0_g1~~TRINITY_DN38813_c0_g1_i5.p1	62.8406990747	41.74605304415	2.31566362368403	1	0.590059428228345
TRINITY_DN3976_c0_g1~~TRINITY_DN3976_c0_g1_i9.p1	78.290234173625	0.662680889825	2.75687023437775	1	6.88437423248424
TRINITY_DN3987_c0_g1~~TRINITY_DN3987_c0_g1_i2.p1	1.459702981275	7.630467915325	-1.97327752218417	1	-2.38609668767526
TRINITY_DN4104_c0_g1~~TRINITY_DN4104_c0_g1_i15.p1	3.450557076475	14.4579514153	-2.23305769488961	1	-2.06696194531491
TRINITY_DN427_c0_g1~~TRINITY_DN427_c0_g1_i12.p1	248.397153790825	155.27010212545	2.80152558408473	1	0.677868583010198
TRINITY_DN48530_c0_g1~~TRINITY_DN48530_c0_g1_i1.p3	0.38891013855	10.203299928725	-2.11457081833201	1	-4.71345516561263
TRINITY_DN514_c0_g1~~TRINITY_DN514_c0_g1_i7.p1	0.59714844565	7.727943543675	-1.93455503052372	1	-3.6939230326357
TRINITY_DN5151_c0_g1~~TRINITY_DN5151_c0_g1_i3.p1	80.0826893331	37.226064193825	2.70843597198491	1	1.10517733130651
TRINITY_DN5185_c0_g4~~TRINITY_DN5185_c0_g4_i1.p1	317.874178510925	199.883757234725	2.50614444437198	1	0.669294586609903
TRINITY_DN551_c2_g1~~TRINITY_DN551_c2_g1_i16.p1	13.401000381825	1236.2607905355	-1.88434898608552	1	-6.52749860160244
TRINITY_DN551_c2_g1~~TRINITY_DN551_c2_g1_i19.p1	4.16956569935	2509.03583060517	-2.50602040066274	1	-9.23302023731184
TRINITY_DN551_c2_g1~~TRINITY_DN551_c2_g1_i9.p1	3.0338144878	848.515630052425	-2.10940642598333	1	-8.12766455477854
TRINITY_DN551_c98_g1~~TRINITY_DN551_c98_g1_i1.p1	37.914236680425	4271.0113554719	-1.95500114535912	1	-6.81569424577322
TRINITY_DN552_c28_g1~~TRINITY_DN552_c28_g1_i1.p1	215.507470572225	136.076549423225	2.35341769328374	1	0.663319417971252
TRINITY_DN5581_c0_g1~~TRINITY_DN5581_c0_g1_i3.p1	108.91853398835	162.195982695275	-1.9757994747993	1	-0.574488617647721
TRINITY_DN567_c0_g1~~TRINITY_DN567_c0_g1_i2.p1	36.59728993305	81.5323739577	-2.20277618385196	1	-1.15563620280514
TRINITY_DN5691_c0_g3~~TRINITY_DN5691_c0_g3_i2.p1	771.456311499675	456.52229584185	2.79042935947994	1	0.756899136629709
TRINITY_DN5733_c0_g1~~TRINITY_DN5733_c0_g1_i7.p1	0.436779657875	8.776618205125	-1.93119445161499	1	-4.32868757714899
TRINITY_DN576_c35_g2~~TRINITY_DN576_c35_g2_i1.p1	2.339524648175	18.1024919315	-1.9452834718606	1	-2.95190097431826
TRINITY_DN5847_c1_g2~~TRINITY_DN5847_c1_g2_i1.p1	173.503882602175	128.04674516345	2.28481351042121	1	0.438297365879202
TRINITY_DN5910_c0_g1~~TRINITY_DN5910_c0_g1_i3.p1	0.55196176055	96.8553088692	-2.13913893219296	1	-7.45511899655014
TRINITY_DN5910_c0_g1~~TRINITY_DN5910_c0_g1_i5.p1	32.480794343075	152.9047245156	-1.93281713773239	1	-2.23497416410018
TRINITY_DN6014_c0_g1~~TRINITY_DN6014_c0_g1_i1.p1	42.821321152975	27.215758699275	2.12357316808435	1	0.653887052505378
TRINITY_DN611_c0_g1~~TRINITY_DN611_c0_g1_i25.p1	41.13737510435	130.5582814931	-1.99413599964558	1	-1.66617232634683
TRINITY_DN611_c0_g1~~TRINITY_DN611_c0_g1_i28.p1	118.93682698695	415.266990039825	-2.2359041643965	1	-1.8038437022236
TRINITY_DN611_c0_g1~~TRINITY_DN611_c0_g1_i44.p1	57.443966178175	157.2597389716	-1.96547306920582	1	-1.45292209726199
TRINITY_DN611_c0_g1~~TRINITY_DN611_c0_g1_i5.p1	148.213111962725	352.886918484875	-1.90224417015999	1	-1.25153286628867
TRINITY_DN6261_c0_g1~~TRINITY_DN6261_c0_g1_i6.p1	0.429350540675	34.92505948775	-2.43942644111857	1	-6.34596275420936
TRINITY_DN6317_c0_g1~~TRINITY_DN6317_c0_g1_i3.p1	102.0145504328	63.1073867139	2.30424016989068	1	0.692894152317023
TRINITY_DN6455_c2_g1~~TRINITY_DN6455_c2_g1_i2.p1	1.1698136066	7.5731328531	-1.87738755392282	1	-2.69461156279065
TRINITY_DN6476_c0_g1~~TRINITY_DN6476_c0_g1_i38.p1	0.5	34.463935339925	-1.97311988527499	1	-6.1070155431488
TRINITY_DN6719_c0_g1~~TRINITY_DN6719_c0_g1_i1.p2	3.18614593345	14.048589153575	-1.96653774254502	1	-2.14054100081079
TRINITY_DN6890_c0_g1~~TRINITY_DN6890_c0_g1_i13.p1	28.1048163602	0.5	2.07926708608007	1	5.81274548311119
TRINITY_DN6908_c1_g1~~TRINITY_DN6908_c1_g1_i4.p1	1485.83904517032	820.016786829775	2.30977884633583	1	0.857552494099261
TRINITY_DN700_c0_g1~~TRINITY_DN700_c0_g1_i8.p1	0.420361345775	18.07851515605	-1.99226933507307	1	-5.42650236669227
TRINITY_DN701_c0_g1~~TRINITY_DN701_c0_g1_i12.p1	3959.5378336698	2745.08118892697	2.07096085191029	1	0.528483226237116
TRINITY_DN701_c0_g1~~TRINITY_DN701_c0_g1_i6.p1	1.702226091225	309.765600358775	-1.99582033740232	1	-7.50761046089094
TRINITY_DN701_c0_g1~~TRINITY_DN701_c0_g1_i7.p1	2.8262799191	360.5026770661	-2.00557947261714	1	-6.99496180314802
TRINITY_DN743_c0_g1~~TRINITY_DN743_c0_g1_i1.p1	2.5148157901	9.518169913625	-2.03649308580346	1	-1.92023148230717
TRINITY_DN7479_c2_g3~~TRINITY_DN7479_c2_g3_i1.p1	74.2901716889	25.1030540978	2.92200418933771	1	1.56530846364996
TRINITY_DN76231_c0_g1~~TRINITY_DN76231_c0_g1_i1.p1	0.770415033425	125.766229079175	-2.03194504047695	1	-7.35089300906803
TRINITY_DN7629_c0_g2~~TRINITY_DN7629_c0_g2_i1.p1	55.9832199686	26.869827833675	2.26501257632504	1	1.05900739089248
TRINITY_DN7873_c1_g2~~TRINITY_DN7873_c1_g2_i6.p1	12.26171722105	44.97909348875	-1.91595143244194	1	-1.87509354644866
TRINITY_DN798_c0_g1~~TRINITY_DN798_c0_g1_i4.p1	33.96679297495	56.0955759166	-1.92412814162829	1	-0.723761983996248
TRINITY_DN85490_c0_g1~~TRINITY_DN85490_c0_g1_i3.p1	66.6055195682	5.27566209095	2.9841379197265	1	3.6582176704599
TRINITY_DN8659_c49_g1~~TRINITY_DN8659_c49_g1_i1.p2	74.793459076325	215.83322519455	-1.9737381155248	1	-1.52893295673085
TRINITY_DN87568_c0_g1~~TRINITY_DN87568_c0_g1_i8.p1	10.355729086675	34.7238745066	-1.95663060682498	1	-1.74549880446588
TRINITY_DN9222_c0_g2~~TRINITY_DN9222_c0_g2_i1.p1	456.950237283325	255.680413020075	2.35892334768125	1	0.83769541783299
TRINITY_DN94623_c1_g1~~TRINITY_DN94623_c1_g1_i1.p1	0.40532845065	89.930449402	-2.23030883220648	1	-7.79357442395236
TRINITY_DN94623_c1_g1~~TRINITY_DN94623_c1_g1_i2.p1	5.519832909975	1038.63161301425	-1.98440717244858	1	-7.55584373137144
TRINITY_DN3059_c0_g1~~TRINITY_DN3059_c0_g1_i20.p1	10.2715625152	0.433751288325	2.4302453591525	1	4.56564380883251
TRINITY_DN3191_c0_g1~~TRINITY_DN3191_c0_g1_i12.p1	11.52495893195	0.473810548025	2.08882363910929	1	4.60430748315873
TRINITY_DN401_c0_g1~~TRINITY_DN401_c0_g1_i1.p1	48.2970844119	136.943991670425	-1.9806262561517	1	-1.50357796561903
TRINITY_DN753_c0_g1~~TRINITY_DN753_c0_g1_i5.p1	6.76597352645	0.7223292296	2.29115901866831	1	3.22756907581896
TRINITY_DN10015_c0_g1~~TRINITY_DN10015_c0_g1_i1.p1	24.986572110525	77.843435512825	-1.87108535361158	1	-1.63942239015613
TRINITY_DN701_c0_g1~~TRINITY_DN701_c0_g1_i2.p1	0.4983205289	80.410507931775	-2.13843292287979	1	-7.33416622408781
TRINITY_DN270_c0_g1~~TRINITY_DN270_c0_g1_i4.p1	34.87096465	2.27588439725	2.29499662659663	1	3.93752709111022
TRINITY_DN700_c18_g2~~TRINITY_DN700_c18_g2_i1.p1	98.968202770325	0.50780281175	2.16422491730375	1	7.60655288643389
TRINITY_DN1086_c0_g1~~TRINITY_DN1086_c0_g1_i1.p1	275.230966077775	204.1265799413	2.13402984636257	0.999999999999999	0.431178743660581
